document,page,version,suspicious_token
docA,p1,degraded,arnt
docA,p2,degraded,00034744
docA,p2,degraded,errr
docA,p3,original,fase
docA,p3,original,args
docA,p3,degraded,ernment
docA,p3,degraded,गाएंंशा
docA,p4,original,steen
docA,p4,original,ares
docA,p5,original,ऋऋऋएऋऋरऋऋ479
docA,p5,degraded,aras
docA,p5,degraded,५एऋ५5
docA,p5,degraded,5५०४4
docA,p6,original,ules
docA,p6,original,wart
docA,p6,original,wart
docA,p6,original,sses
docA,p6,original,ales
docA,p6,degraded,zziiain
docA,p6,degraded,fafa
docA,p6,degraded,enciaomeetn
docA,p6,degraded,wart
docA,p6,degraded,bales
docA,p6,degraded,feet
docA,p7,original,steen
docA,p7,original,bemorc6
docA,p7,degraded,soka
docA,p7,degraded,eres
docA,p7,degraded,agen
docA,p8,original,ए88९
docA,p8,original,ales
docA,p8,original,pazar
docA,p8,degraded,80224
docA,p8,degraded,paar
docA,p8,degraded,loree
docA,p9,original,pers
docA,p9,original,frase
docA,p9,original,220077
docA,p9,degraded,cage
docA,p9,degraded,urea
docA,p9,degraded,hath
docA,p9,degraded,oaeet
docA,p9,degraded,eran
docA,p9,degraded,erent
docA,p10,original,zara
docA,p10,original,yates
docA,p10,degraded,zzifain
docA,p10,degraded,fafa
docA,p10,degraded,gard
docA,p10,degraded,veri
docA,p11,original,sant
docA,p11,degraded,szziain
docA,p11,degraded,fats
docA,p12,degraded,chae
docA,p13,original,fret
docA,p13,original,serene
docA,p13,original,zaret
docA,p13,original,fracarg
docA,p13,original,२555552080
docA,p13,original,acai
docA,p14,original,ऋरएइए्ए्चर47
docA,p14,original,ऋरप्र्ऋ्
docA,p14,degraded,४४५४४५।40
docA,p14,degraded,fara
docA,p14,degraded,४२2०
docA,p15,original,favs
docA,p15,original,ooo20
docA,p15,original,aeriz
docA,p15,original,vers
docA,p15,original,aétetnot
docA,p15,original,pate
docA,p15,original,tava
docA,p15,original,atte
docA,p15,original,asat
docA,p15,original,lata
docA,p15,degraded,_ऋककक
docA,p16,degraded,szziiain
docA,p16,degraded,fate
docA,p16,degraded,eerie
docA,p17,original,uistfbo2d
docA,p17,original,titi
docA,p17,degraded,elen
docA,p17,degraded,ener
docA,p18,degraded,zaiain
docA,p18,degraded,fats
docA,p19,original,aeen
docA,p19,original,प्रतिलिपि
docA,p19,original,कम्प्यूटरीकृूत
